id,Name,loss,val_loss,precision,val_precision,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,recall,val_recall,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,F1,val_F1,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,F1_global_ev,accuracy,val_accuracy,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
1,S1A_el_sl_as,0.0309,0.1107,0.9828451532,0.8078934596,0.9726856175,0.8229709997,0.559123745,0.8183804735,0.50427428,0.7208442511,0.7475940471,0.5560589662,0.9396794229,0.5185910815,0.6025025709,0.9769783662,0.871237075,0.9583208687,0.5000053938,0.5050155734,0.8250333082,0.5442637388,0.6583146824,0.992451979,0.781596923,0.5462615068,0.5330646582,0.6725683567,0.9798887632,0.8361597807,0.9653569123,0.4483201423,0.508672252,0.8216704497,0.4519820443,0.6841255913,0.8274948971,0.4622970523,0.5765003666,0.09830416262,0.6232552473,0.6978994653,0.9928335826,0.9674048424,0.9867663913,0.8126087189,0.9968973796,0.9848001268,0.7534946866,0.9809867011,0.9858404795,0.5883208381,0.9696030087,0.0990708669,0.8687843111
2,S1A_el,0.01532,0.07767,0.9859069305,0.9845461291,0.9752903392,0.4063035117,0.5994416223,0.6090252603,0.6918035111,0.5317384756,0.6748359194,0.7224590795,0.8762235003,0.6261104906,0.7010631858,0.98601266,0.8888022008,0.9647387816,0.5,0.7102692624,0.8684803099,0.6612469337,0.8244992858,0.9778682071,0.9548403738,0.5017152206,0.9407419278,0.7089107698,0.9859597879,0.9308833634,0.9699363303,0.448308438,0.6346513284,0.6572315457,0.6751151387,0.4986807142,0.7513913585,0.7887127068,0.4950358632,0.6731912862,0.7048889015,0.5745192784,0.99496585,0.9887634595,0.9884681702,0.8126070235,0.9933800168,0.9356195662,0.9789132012,0.7794231839,0.9744182163,0.935494105,0.9669132233,0.8974882762,0.9225653754
3,S1A_sl,0.01273,0.02281,0.9877871106,0.9903078279,0.9777676309,0.7058406176,0.6702715101,0.6553797636,0.962510736,0.5777665733,0.5165122314,0.9762706341,0.9046791842,0.8678293417,0.7094296819,0.9877557944,0.9349203725,0.9704424363,0.7382256481,0.6577807451,0.8722137734,0.9306431049,0.805186914,0.7936615771,0.9543090863,0.9496043008,0.9247799986,0.8487565276,0.9877714519,0.9607798104,0.9740676446,0.7190118084,0.6637856058,0.7141918791,0.9459864076,0.6126398189,0.402319035,0.9649984866,0.9258602327,0.8940622817,0.755535496,0.498406246,0.9956160439,0.993327109,0.9900184207,0.8149117364,0.9962336222,0.9587798648,0.9963224199,0.9319182502,0.5938563877,0.9932284885,0.9899603526,0.9845907423,0.915472073
4,S1A_as,0.02979,0.08512,0.9892561613,0.9898247595,0.9814493512,0.9413689549,0.5120557579,0.8572047429,0.9840930936,0.6465763047,0.5435297962,0.9920576359,0.9716864594,0.669668424,0.8630192139,0.9468049403,0.8197137281,0.9270594069,0.9667403957,0.5000325166,0.7277168916,0.838298318,0.5507050604,0.9257180102,0.8619860488,0.683993973,0.6214849726,0.9012270319,0.966808434,0.885184988,0.9521337067,0.9533878565,0.4993406408,0.7774213628,0.8978228899,0.573668946,0.5402726578,0.9160142938,0.7611373113,0.6410147971,0.8809634877,0.910645192,0.9886135737,0.9828612645,0.9824733734,0.9707825979,0.9970768823,0.9846138424,0.993876987,0.9798323313,0.854508294,0.9855497148,0.9786027273,0.9583888584,0.9677450392
5,S1A_sl_as,0.03435,0.1027,0.9821249591,0.9883225175,0.9747474164,0.6252073051,0.5541033811,0.7263007387,0.9858685795,0.5254252604,0.507550214,0.9860669084,0.9688572511,0.8276569728,0.6408253775,0.8497607063,0.7777406449,0.8051220246,0.6524307353,0.5019520766,0.720772297,0.7024086305,0.6313574137,0.6375717929,0.7942398929,0.7823534189,0.8276952514,0.7258194275,0.9028501702,0.8514376975,0.8666827184,0.6342795341,0.5031083802,0.7234998218,0.7840206659,0.5259117452,0.3643189001,0.864105809,0.8509513827,0.8276761109,0.6689276944,0.9219785262,0.9698663288,0.9789253235,0.9572917091,0.751771715,0.9970027076,0.9769611359,0.989188936,0.8942985535,0.527469635,0.9783382416,0.9846558041,0.9767392476,0.8883293788
6,S1A_el_sl,0.01686,0.06284,0.9924611328,0.9915875003,0.983185384,0.4063035117,0.6130073701,0.7242575438,0.8745920464,0.5772825903,0.4971445664,0.9230371201,0.9299061553,0.8968087224,0.801322782,0.9768087776,0.8739182626,0.9430893231,0.5,0.6519191363,0.8385684026,0.5633829935,0.7681427262,0.4879354276,0.7636190434,0.5025705581,0.8704747265,0.6796865888,0.9844735835,0.92394847,0.9620027818,0.448308438,0.6295586985,0.7688658213,0.605135767,0.6112956947,0.4876031181,0.82269851,0.4967377655,0.8831507865,0.7221374924,0.7250869949,0.9945218404,0.9879190763,0.9858693017,0.8126070235,0.9949501885,0.9755041334,0.9836343129,0.938249588,0.9254845513,0.971432156,0.9669804043,0.9847509596,0.9426865684
7,S1A_el_as,0.02137,0.04782,0.9815675619,0.9472594772,0.9705267991,0.4063035117,0.6017445215,0.6573880606,0.5258785217,0.5379847333,0.5440101843,0.5859033807,0.9260692421,0.532409905,0.6184511422,0.9818904698,0.8994893973,0.9632932189,0.5,0.6993090426,0.8623982729,0.6965996908,0.8015818003,0.9267506465,0.8643712208,0.6388713529,0.739636409,0.691415842,0.9817289463,0.9218759899,0.9668729166,0.448308438,0.6344259708,0.7149595012,0.5119879588,0.5298377424,0.54157805,0.5714550233,0.7052315119,0.3924870596,0.641812196,0.7444412153,0.9934473885,0.986664931,0.9872493744,0.8126070235,0.9937076569,0.9600461324,0.8423309326,0.84224489,0.8561888801,0.7512936062,0.9747806125,0.5115169949,0.8785734389
8,S1_el_sl_as,0.02616,0.08223,0.9860574884,0.8762965047,0.9739070642,0.4063035117,0.5766133535,0.8807040616,0.5066993986,0.6684021774,0.7784368754,0.5646737567,0.9409481361,0.520559183,0.6149318833,0.9689160622,0.8616027404,0.950898357,0.5,0.5070462894,0.7558396706,0.5616270796,0.5582351531,0.9939734603,0.8137542982,0.564612464,0.5869715425,0.673949297,0.9772901367,0.8687848309,0.9620258332,0.448308438,0.5123396969,0.8054372891,0.4672836911,0.5848326588,0.8547643635,0.5019477746,0.6060397235,0.1918580619,0.6352357841,0.7439037962,0.9920014275,0.9768044472,0.9856268565,0.8126070235,0.9969003465,0.986269421,0.7900793287,0.9803621504,0.9889450073,0.6509257423,0.9707099067,0.2071452671,0.881431622
9,S1_el,0.01785,0.1112,0.9830976354,0.7752486313,0.9717296791,0.4063035117,0.5974832363,0.6669504996,0.504220526,0.5804017414,0.4922681519,0.5546393484,0.9606823785,0.5188882398,0.5868251945,0.9884933798,0.8963171527,0.9732654806,0.5,0.7433113485,0.8137595425,0.5454754042,0.6122768426,0.4484118908,0.7753100616,0.5043246739,0.5479251987,0.6584060996,0.98577624,0.8229833051,0.9724959239,0.448308438,0.6385903836,0.7156296658,0.447222557,0.5933305158,0.4693176909,0.4544371635,0.5002214981,0.1262789266,0.6047620598,0.5662387841,0.9948720932,0.9609773636,0.9893143972,0.8126070235,0.9926467472,0.9653542837,0.7394727071,0.9658256107,0.8843665653,0.5756554074,0.9671033223,0.1293818156,0.8545923869
10,S1_sl,0.01415,0.0276,0.9914902676,0.9906154396,0.9830567106,0.9069201207,0.6940521466,0.8195569162,0.9631522656,0.7880956598,0.5024777346,0.9817076618,0.9844423783,0.8924832228,0.8671366456,0.9816091515,0.9256055932,0.9581934781,0.6402206376,0.6220956345,0.8658401933,0.9215327008,0.7336369423,0.5152306674,0.9262240623,0.7849734087,0.8775292962,0.7791366633,0.9864855514,0.9555606848,0.9701939004,0.6797214553,0.6498046131,0.8410404927,0.9413258887,0.7578841945,0.4887146797,0.9520666198,0.8572179569,0.8848483218,0.8160372176,0.9335796095,0.9952035268,0.9925168991,0.988735199,0.8632795546,0.996682273,0.9856185913,0.9960483975,0.9846314324,0.8967100779,0.9910528395,0.9854270087,0.9847532908,0.9582727644
