id,Name,Loss,val_loss,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
1,S1A_el_sl_as,0.07905875891,0.07569555193,0.9752200575,0.7728974531,0.5007995613,0.8809954676,0.9220441137,0.7754404666,0.7243935025,0.9843418713,0.524156056,0.7580010568,0.9379093184,0.7975196605,0.5006583285,0.5000258183,0.7414754425,0.5763687741,0.570182863,0.6857065795,0.8627690531,0.5001430013,0.5883272527,0.6361433699,0.8606817175,0.4497797948,0.4993875174,0.7948606331,0.6260628999,0.6093909058,0.7031428194,0.9138459878,0.4919901016,0.6278454794,0.6978994653,0.9557965597,0.812778261,0.9969912635,0.9858510759,0.9843491448,0.9827537537,0.9851356082,0.9850646125,0.9666707781,0.9660841624,0.9483234194
2,S1A_el,0.09024054557,0.08954034001,0.5170242776,0.4063035117,0.4985421069,0.864771693,0.9324115254,0.9574130238,0.4930872669,0.98487329,0.4834148232,0.8125271512,0.8824669568,0.5000018231,0.5,0.499985228,0.6613372724,0.6213482982,0.5458981238,0.498883312,0.9389059036,0.4999987944,0.9200111339,0.5503560448,0.4712442083,0.448308438,0.4992626246,0.7219744654,0.6869503236,0.5795394891,0.495953571,0.9606076726,0.4915669754,0.8575162376,0.5745192784,0.8911836412,0.8126070235,0.9970548418,0.9830464257,0.985812717,0.98367797,0.9838924408,0.992568122,0.9668273926,0.9774383969,0.9364793354
3,S1A_sl,0.06429968774,0.04555381089,0.5181692019,0.5216057259,0.5003958059,0.5046547949,0.5033432318,0.5020205369,0.5016861856,0.5101490919,0.504851802,0.5071344131,0.5110158618,0.528943832,0.522965223,0.5192439395,0.5345472309,0.5286994941,0.518026365,0.5202271057,0.5315550821,0.5231047302,0.5315598602,0.5265718158,0.5154127578,0.522059378,0.4564128696,0.468840543,0.4670144392,0.4623935938,0.4552880911,0.4923781689,0.477036159,0.4828764047,0.498406246,0.7530379825,0.6996057298,0.827926,0.7954885695,0.8048657311,0.7964040968,0.7857023875,0.7838338216,0.79416932,0.7994441986,0.7721756405
4,S1A_as,0.06987450272,0.07039337605,0.978699047,0.9345620869,0.4985421471,0.8951493539,0.9884119762,0.8368212509,0.8363670414,0.9919282722,0.918684674,0.7605729426,0.9508738117,0.9423450645,0.9020976551,0.4999990435,0.7553861783,0.8591210716,0.5661247823,0.996020949,0.8695549566,0.5765783218,0.6061438631,0.8779294758,0.959582095,0.9172102738,0.4992695325,0.80955708,0.9135585082,0.6075467635,0.9002808391,0.9210752183,0.6233655097,0.6478267893,0.910645192,0.9849145677,0.9514297909,0.9970823924,0.9867651198,0.9947094387,0.9834654066,0.9932352702,0.9863005744,0.9711441464,0.9663954841,0.9788511488
5,S1A_sl_as,0.07355801761,0.0769424811,0.9829697887,0.9492902556,0.5076331479,0.9438407432,0.989251827,0.7119331312,0.8009410044,0.9920395789,0.9358714292,0.6709571269,0.9503772558,0.9200457318,0.9619961111,0.5000306037,0.7303919757,0.840825169,0.5500089003,0.9946540107,0.861809222,0.5690650038,0.59204094,0.8974571665,0.948660028,0.9554795604,0.4993395899,0.8019538418,0.9013099714,0.5784205213,0.8732041479,0.9158876002,0.6127424256,0.6180469095,0.9219785262,0.981370714,0.9724966685,0.9970730676,0.9872894287,0.9940935771,0.9816608429,0.9908063677,0.9855306413,0.9709205627,0.9602415297,0.9810941696
6,S1A_el_sl,0.1093023717,0.06386100501,0.9845728532,0.5134466082,0.9675570402,0.6343032456,0.9383486615,0.5584611645,0.7244487009,0.9718693383,0.8940883342,0.803907637,0.7936758674,0.877263594,0.5000015719,0.5208565518,0.851080355,0.6196800825,0.8408943786,0.9797077096,0.9420995401,0.501544124,0.9252125164,0.6857088082,0.9223531616,0.448325479,0.5392427334,0.6881035656,0.6853983941,0.5768170537,0.8033299135,0.9564394139,0.4946873061,0.8533281498,0.7250869949,0.9731625451,0.8125968509,0.9971978929,0.9520306057,0.9858256446,0.8946554396,0.9830449422,0.9916456011,0.9669104682,0.9762202369,0.9420589659
7,S1A_el_as,0.09034948051,0.08694501221,0.9831668335,0.8593456563,0.5007448289,0.8928633782,0.9652256867,0.735659602,0.8036925418,0.9910413751,0.9670378321,0.788365952,0.9413017703,0.879276817,0.5071999949,0.5000123246,0.7417500392,0.6005100977,0.5565232793,0.9938683869,0.8764921948,0.5551335168,0.6564623969,0.676333942,0.9231895427,0.4634288602,0.4993295597,0.7984876663,0.6622236458,0.5886642884,0.8751426393,0.9253489783,0.5915094069,0.7010663919,0.7444412153,0.9733587901,0.8150791592,0.997036616,0.9862567054,0.9854507446,0.9820512136,0.9910072751,0.9869295756,0.9703540802,0.9688000149,0.9535082075
8,S1_el_sl_as,0.08296410739,0.06410057843,0.9827538555,0.6575468209,0.4985421347,0.9170743825,0.9277690157,0.6782617007,0.8008747689,0.9899245298,0.9481398227,0.6413907081,0.9287839085,0.9015773988,0.5016575875,0.4999947926,0.745536931,0.5862973462,0.5595506877,0.9868866204,0.8651403156,0.5281418683,0.610223519,0.6774596042,0.9373511218,0.4525265419,0.499267407,0.8081292505,0.6404942468,0.5874820015,0.8709813065,0.9174065726,0.5451964746,0.6235502996,0.7439037962,0.9777170817,0.8126133813,0.9970739153,0.9871279399,0.9846935272,0.9806552463,0.9907360077,0.9857116275,0.9685556624,0.9547653198,0.952960523
9,S1_el,0.08248978108,0.08138965815,0.4455955293,0.4063035117,0.4985421499,0.7650319415,0.8035003286,0.6840822126,0.493003442,0.959500042,0.4834148619,0.9400464181,0.7923538745,0.5,0.5,0.5,0.8168271342,0.6332231549,0.7137276009,0.4962770648,0.7922965959,0.5,0.894726291,0.5459582988,0.4712326947,0.448308438,0.4992700107,0.788464827,0.6837774528,0.697720924,0.494634837,0.8552594534,0.4915675781,0.9160570243,0.5662387841,0.8911910587,0.8126070235,0.9970842997,0.9804087745,0.9839244419,0.9771050347,0.9787671831,0.9764968024,0.9668297238,0.9892520905,0.9339043723
10,S1_sl,0.04848470911,0.0616197288,0.9794872052,0.9505659871,0.7381682298,0.8777400917,0.9758573633,0.7542830032,0.7751151317,0.9881283097,0.963257795,0.7258871852,0.9446133116,0.9479133298,0.9687606155,0.5228592085,0.8217371365,0.898410704,0.6825433857,0.9934215004,0.8991253084,0.6216983343,0.6778583527,0.9231713001,0.9629952667,0.9593290235,0.5411243698,0.8473816585,0.9335768894,0.7122146895,0.8518386988,0.9386444402,0.6875903745,0.6986769802,0.9335796095,0.9861168332,0.9747227563,0.9970726437,0.9880788591,0.9956968096,0.9826672872,0.9886425866,0.988951789,0.9745078617,0.9636351267,0.983317354
