id,Name,test_1_precision,test_2_precision,test_3_precision,test_4_precision,test_5_precision,test_6_precision,test_7_precision,test_8_precision,test_9_precision,test_10_precision,precision_ev,test_1_recall,test_2_recall,test_3_recall,test_4_recall,test_5_recall,test_6_recall,test_7_recall,test_8_recall,test_9_recall,test_10_recall,recall_ev,test_1_F1,test_2_F1,test_3_F1,test_4_F1,test_5_F1,test_6_F1,test_7_F1,test_8_F1,test_9_F1,test_10_F1,F1_ev,test_1_accuracy,test_2_accuracy,test_3_accuracy,test_4_accuracy,test_5_accuracy,test_6_accuracy,test_7_accuracy,test_8_accuracy,test_9_accuracy,test_10_accuracy,accuracy_ev
1,S1A+(el_sl_as),0.9815944253,0.650930428,0.7442078287,0.7615481488,0.9278928617,0.6600199399,0.5736216686,0.9697486949,0.9273549546,0.868081602,0.7917854715,0.8606653889,0.6161497574,0.5582615683,0.7981853886,0.6581803611,0.6952807371,0.9108465856,0.9006621569,0.6041275397,0.8916987921,0.7455612649,0.9100381054,0.628144395,0.5936716039,0.7785849868,0.7290165876,0.6757602646,0.6085604488,0.9321337652,0.6621430902,0.8794887508,0.7662448652,0.969405916,0.7985986074,0.997071796,0.9800126817,0.9868789249,0.9747653537,0.9275432163,0.9875448015,0.9728336334,0.9832115173,0.9445739958
2,S1A+el,0.9469283422,0.9099433868,0.8048843505,0.8239753128,0.940148741,0.9831186362,0.4913493323,0.9514231886,0.982875012,0.9737839623,0.6132476346,0.5298233986,0.5808311918,0.508089391,0.6229387087,0.6021738353,0.5548867237,0.3995882973,0.5174477776,0.5717895635,0.7050376436,0.548743838,0.5291501233,0.5951074029,0.515065298,0.6761272293,0.6629247499,0.594747896,0.4406701158,0.5207759208,0.6182375425,0.7829268642,0.5631076283,0.8976631165,0.8424693214,0.9971016778,0.9810977512,0.9852924347,0.9840829637,0.7877939012,0.9495042165,0.9715658824,0.9789223141,0.9188621733
3,S1A+sl,0.9854098383,0.8868023927,0.4985421499,0.9485189597,0.9924412668,0.9537026267,0.914205205,0.9916187984,0.968514525,0.8147303569,0.9517608668,0.9076258142,0.7442745845,0.5,0.7375662759,0.8340152139,0.5440821492,0.9889067086,0.8534405224,0.5651792851,0.584086227,0.7914369942,0.9421384877,0.789375377,0.4992700107,0.8092921992,0.897525066,0.5764535798,0.9483634173,0.9099848148,0.6075936639,0.6278025935,0.8516433173,0.9793332418,0.8940086365,0.9970842997,0.9876761966,0.9939329359,0.9836046431,0.9969153934,0.984658983,0.9710066054,0.967921363,0.9684956445
4,S1A+as,0.9879333738,0.8845150755,0.4985421496,0.9421874081,0.9943917447,0.8854740742,0.8287965874,0.9923463411,0.9508413314,0.8054062657,0.9467998217,0.9200653483,0.7411794416,0.4999998937,0.7416370642,0.8390494532,0.5558462542,0.9934867322,0.8646776651,0.5731353543,0.5961430103,0.7948654226,0.950712795,0.7861643013,0.4992699576,0.8112864206,0.901748822,0.5940943423,0.8939898258,0.9179420427,0.6193682477,0.641999763,0.8528380759,0.9821980794,0.8926438226,0.9970840878,0.9876728058,0.9941571554,0.983619478,0.9927317301,0.9858411153,0.9713287354,0.9680235121,0.9684761683
5,S1A+(sl_as),0.9857106656,0.9495897842,0.9429874392,0.8828573049,0.9848161654,0.7424617712,0.7752227592,0.9832739566,0.9396980421,0.7164431599,0.950231112,0.9028213382,0.9566977685,0.5002906337,0.7226919179,0.8270288458,0.5462778158,0.9933436036,0.8601931997,0.5690299699,0.5917929605,0.8887073418,0.9392753063,0.9530925952,0.4998514812,0.7806171157,0.8900616097,0.5748313359,0.851910391,0.9117392955,0.6128014555,0.6261904812,0.9168244524,0.9784302182,0.9712017907,0.9970857832,0.9853469001,0.9935054779,0.982167138,0.9886521233,0.9847310384,0.9709601932,0.9639174143,0.9800480101
6,S1A+(el_sl),0.9688001419,0.9089384668,0.8590288003,0.8665615735,0.9850939506,0.855882255,0.491129148,0.9706118235,0.9789957985,0.9828641919,0.7108413994,0.7437299207,0.5912784124,0.6162002176,0.7401973851,0.6211414137,0.6099760788,0.3898918735,0.536648833,0.6424696132,0.7814526372,0.633660882,0.8122126594,0.611254056,0.675233401,0.7895785058,0.6909981244,0.6657974259,0.4346859415,0.5558199243,0.7148578801,0.8538472786,0.661394114,0.9440665775,0.8461786906,0.997499254,0.9852977329,0.9863283369,0.9846174452,0.7689225939,0.9515573714,0.9761132134,0.9843548669,0.9285680983
7,S1A+(el_as),0.9867443738,0.5807893982,0.7359082993,0.7409495987,0.9731783529,0.6073658518,0.5577746082,0.9816424912,0.940457046,0.881328167,0.7342626139,0.9107194994,0.6001332869,0.6035661898,0.8293568107,0.8396031834,0.7694328441,0.9448213914,0.9370665209,0.6344885686,0.9144000615,0.7801667664,0.9445681179,0.5857878986,0.6437344822,0.7777826684,0.8950250811,0.649330283,0.5751859848,0.9581417861,0.7015181641,0.8971133483,0.7545747874,0.980158488,0.7157404158,0.9970181783,0.9778016408,0.99363984,0.956591924,0.8939940135,0.9920936161,0.9748480055,0.9855096605,0.9305944443
8,S1+(el_sl_as),0.9816713487,0.6089844474,0.6878904154,0.8780654659,0.971890117,0.8944654563,0.6262242689,0.9803410887,0.9705902904,0.8891500701,0.8222185372,0.856287392,0.5840901963,0.505135872,0.6991537305,0.7714908132,0.5344223159,0.5646859875,0.7542981309,0.550987015,0.6400893078,0.7020852556,0.9070099217,0.5920326489,0.5093125599,0.7596264912,0.8437772575,0.5594140264,0.5848802198,0.8290394833,0.5847578275,0.7020850071,0.7457941081,0.968536165,0.7788066864,0.9970650143,0.9844957987,0.9913139343,0.983095381,0.9827806685,0.9740022024,0.9701148139,0.9725036621,0.9465880712
9,S1+el,0.9256022941,0.9033154849,0.4985421499,0.4898995926,0.9910290237,0.9910815236,0.4929880301,0.9738835956,0.9834168084,0.9825311352,0.4848867407,0.5000697606,0.500724446,0.5,0.4989834686,0.500247928,0.5001009717,0.4951708009,0.5000121718,0.5000606963,0.500424263,0.499715553,0.4713765332,0.4498240443,0.4992700107,0.4941359334,0.4959695187,0.4957025369,0.4940770047,0.4866159622,0.4916899623,0.4919580808,0.4824722792,0.8912056817,0.8128772312,0.9970842997,0.9763262007,0.9820582072,0.9821631114,0.9765853882,0.9477672577,0.9668337504,0.965063307,0.9297646628
10,S1+sl,0.9795699524,0.902590864,0.4985421496,0.9378972467,0.9723034636,0.9228625475,0.6640133379,0.9817158736,0.9691224699,0.8622631333,0.9593164361,0.9280208126,0.6180061464,0.4999998937,0.7669376623,0.8213311538,0.5764066362,0.5285635723,0.7489381816,0.5641485282,0.6076170024,0.726002792,0.9518861704,0.649907661,0.4992699576,0.8307940875,0.8819551696,0.6261728431,0.5464076327,0.8245466644,0.605986572,0.661277706,0.7974448177,0.9823324415,0.855208079,0.9970840878,0.988500807,0.9930025736,0.9844519297,0.9853498671,0.9735325707,0.970946206,0.9701406691,0.960841963
